# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
5 1.365 2796766 115
14 1.371 3084492 119
4 1.386 2228352 100
5 1.392 3123510 129
4 1.398 3122658 117
4 1.404 3069666 111
4 1.409 2755086 120
4 1.414 2423914 116
4 1.420 2746420 110
5 1.425 2892354 115
4 1.431 2775966 104
5 1.436 2922752 119
3 1.442 2709826 105
4 1.447 3106668 109
3 1.452 2585060 106
4 1.456 2681652 123
4 1.461 2662278 106
4 1.467 3121966 117
6 1.472 2823760 127
4 1.479 2721062 109
5 1.489 2893352 128
4 1.495 3041288 103
5 1.500 3058072 119
4 1.506 2917824 122
4 1.513 2352402 116
3 1.520 2534144 109
3 1.524 2809234 104
3 1.529 2633934 107
4 1.533 2775468 124
4 1.539 2550814 120
3 1.544 3082674 107
3 1.548 2707822 106
3 1.554 2965834 105
3 1.559 2799552 103
4 1.563 2663436 101
3 1.568 2589102 108
4 1.575 2858130 109
4 1.580 2791602 120
5 1.587 2686664 118
5 1.595 2578026 113
5 1.602 2651916 113
4 1.609 2800592 117
4 1.614 2985454 113
4 1.620 2273066 106
3 1.629 2461280 102
4 1.635 2488814 112
4 1.640 2708632 121
4 1.647 3122928 126
8 1.653 3077598 127
4 1.663 2661854 117
4 1.669 3122658 120
3 1.675 2360528 101
4 1.683 2334074 100
3 1.689 2693280 119
3 1.695 2738722 108
4 1.700 2970804 125
12 1.707 3122658 122
3 1.721 2590334 106
3 1.725 3121480 117
3 1.731 3121426 101
4 1.735 2658688 114
4 1.740 2472998 110
3 1.746 2613598 109
4 1.750 2856628 108
3 1.756 2628500 113
3 1.761 2819524 101
3 1.766 3122636 101
4 1.771 2867088 107
3 1.776 2561180 100
3 1.781 2680614 106
3 1.787 2594612 104
4 1.792 2555788 119
4 1.797 2987410 114
3 1.803 2247262 103
4 1.808 2592546 113
4 1.814 2466554 105
3 1.819 3122658 113
3 1.825 2498560 115
3 1.830 2543156 100
3 1.834 2505302 107
3 1.839 3119654 102
3 1.845 2570808 122
4 1.850 2724344 106
4 1.856 3043924 127
4 1.862 2895910 106
5 1.869 3034310 103
5 1.875 3122658 124
10 1.887 3113632 127
4 1.898 2893792 102
10 1.903 2856998 121
4 1.914 2743538 103
3 1.919 2720240 113
4 1.924 2437594 120
4 1.931 2975520 114
5 1.937 2723702 124
4 1.945 2803618 117
3 1.950 3111184 109
3 1.956 2529110 104
5 1.962 2557560 119
5 1.968 2909112 112
5 1.974 3085032 108
4 1.981 3122042 105
4 1.986 2637836 108
3 1.992 2471178 103
4 1.996 2715872 116
3 2.003 2533030 106
4 2.008 3122658 118
3 2.013 2415216 107
4 2.018 2820680 126
4 2.025 2498366 120
5 2.033 2849676 123
4 2.039 2382442 104
3 2.045 2474798 106
4 2.049 2355406 104
3 2.055 2716244 108
3 2.062 2674294 107
5 2.069 3004464 115
4 2.078 3019548 102
5 2.083 2832472 126
5 2.090 2682496 109
10 2.096 3122312 122
4 2.107 3021070 109
5 2.113 3091718 121
5 2.122 2986980 122
4 2.128 2789214 111
5 2.133 3122658 123
5 2.141 2973960 104
5 2.147 2865200 103
20 2.153 3122506 124
9 2.174 3123400 103
157 2.184 3123814 130
6 2.342 3122658 107
5 2.350 3065852 103
6 2.356 2985284 109
11 2.366 3123864 126
4 2.378 2827034 108
5 2.384 2575314 109
4 2.390 2834198 111
4 2.396 2651916 127
4 2.403 2928642 120
4 2.409 2777468 124
3 2.415 2816528 100
4 2.420 3098018 116
4 2.425 2472602 117
4 2.431 2918040 124
5 2.436 2663048 122
4 2.442 2652802 113
4 2.447 2755554 127
4 2.452 2591836 118
3 2.457 2335140 101
3 2.464 2373426 106
3 2.469 2559678 106
4 2.475 3075380 112
3 2.480 2934732 108
4 2.485 3123198 110
4 2.490 2780050 122
3 2.495 2382484 100
4 2.499 2852064 116
4 2.506 2916538 119
5 2.511 2750702 109
4 2.518 3015624 102
4 2.523 2530224 119
3 2.528 2684398 117
3 2.533 2906810 103
3 2.538 2322362 103
3 2.542 2579690 104
4 2.548 2878102 124
4 2.556 2720392 123
4 2.562 2465052 120
10 2.567 2960290 122
10 2.578 3123198 116
4 2.589 2813300 127
4 2.604 2434796 120
4 2.612 2560348 115
4 2.617 2438390 103
3 2.624 2606088 106
4 2.628 3122658 123
4 2.635 2568690 107
4 2.640 3122042 117
3 2.645 2461162 100
4 2.652 3123314 119
4 2.657 2789808 123
4 2.663 2839206 115
4 2.668 2589566 127
4 2.673 2723514 127
10 2.678 2980862 118
11 2.692 3061208 130
4 2.707 2880836 107
5 2.712 2764118 110
4 2.718 3101630 101
5 2.724 3111182 120
5 2.730 2830038 125
4 2.738 3122658 122
5 2.744 2757994 125
5 2.750 2750496 110
5 2.757 3055054 126
6 2.764 3012784 113
17 2.774 3122658 122
4 2.792 2637512 107
4 2.800 2853184 109
4 2.805 3123918 108
4 2.810 3085894 113
5 2.816 2677104 112
5 2.822 3110574 126
5 2.828 2681694 117
5 2.834 2784792 125
4 2.840 2804158 111
15 2.845 3123544 116
6 2.863 3123544 113
6 2.870 3122658 110
6 2.877 3122658 126
4 2.885 3122658 118
9 2.891 3121156 114
3 2.902 2707684 118
8 2.910 3122658 126
3 2.920 2467170 103
3 2.926 3122990 113
4 2.931 2376434 105
4 2.936 2380428 106
4 2.942 2674986 126
7 2.947 3122658 118
4 2.957 3122770 102
4 2.962 2720400 101
4 2.967 3096030 105
4 2.973 2603008 114
4 2.978 2946240 110
4 2.986 2694782 121
4 2.991 2693972 110
3 2.997 2772076 107
